paises;quantidade_kg;valor;categorias;ano
Nova Zelândia;-;-;Vinhos de mesa;2009
Omã;-;-;Vinhos de mesa;2009
Países Baixos;171.654;136.991;Vinhos de mesa;2009
Panamá;24;30;Vinhos de mesa;2009
Paraguai;486.927;392.087;Vinhos de mesa;2009
Peru;-;-;Vinhos de mesa;2009
Polônia;6.982;35.797;Vinhos de mesa;2009
Porto Rico;-;-;Vinhos de mesa;2009
Portugal;141.000;168.923;Vinhos de mesa;2009
Quênia;-;-;Vinhos de mesa;2009
Reino Unido;30.092;68.788;Vinhos de mesa;2009
República Dominicana;-;-;Vinhos de mesa;2009
Rússia;21.912.914;5.732.280;Vinhos de mesa;2009
São Tomé e Príncipe;-;-;Vinhos de mesa;2009
São Vicente e Granadinas;-;-;Vinhos de mesa;2009
Senegal;-;-;Vinhos de mesa;2009
Serra Leoa;-;-;Vinhos de mesa;2009
Singapura;-;-;Vinhos de mesa;2009
Suazilândia;-;-;Vinhos de mesa;2009
Suécia;28.334;52.826;Vinhos de mesa;2009
Suíça;27.653;81.319;Vinhos de mesa;2009
Suriname;3.830;12.918;Vinhos de mesa;2009
Tailândia;-;-;Vinhos de mesa;2009
Taiwan (FORMOSA);-;-;Vinhos de mesa;2009
Tanzânia;-;-;Vinhos de mesa;2009
Tcheca, República;9.269;43.902;Vinhos de mesa;2009
Togo;-;-;Vinhos de mesa;2009
Trinidade Tobago;-;-;Vinhos de mesa;2009
Tunísia;-;-;Vinhos de mesa;2009
Turquia;-;-;Vinhos de mesa;2009
Tuvalu;-;-;Vinhos de mesa;2009
Uruguai;-;-;Vinhos de mesa;2009
Vanuatu;-;-;Vinhos de mesa;2009
Venezuela;-;-;Vinhos de mesa;2009
Vietnã;743;2.143;Vinhos de mesa;2009
Total;25.514.198;8.940.988;Vinhos de mesa;2009
Alemanha;6.648;29.018;Espumantes;2009
Angola;11.393;33.664;Espumantes;2009
Antigua e Barbuda;-;-;Espumantes;2009
